System ID,Firstnames,Lastname,Known As,Title,Post Nominals,Person Corporate Type,Record Type,Role,Gender
5272,Norman Kemp,Smith,Norman,,,Individual,Person,,
1986,Franz,Klimesch,Franz,,,Individual,Person,"Production Person (pri & sec), Production Person (primary)",
2086,,possibly by A. Sprinz,,,,Business,Corporate,,
1649,,Possibly L. Binckes,,,,Business,Corporate,,
1650,,Possibly William Bryden & Son.,,,,Business,Corporate,,
3566,John,Goodsir,John,Prof,"FRS, FRSE, MWS",Individual,Person,Subject Person : Sitter,Male
8305,Jacqueline,Burnett (nee Watt),Jacqueline,,,Individual,Person,"Production Person (pri & sec), Production Person (primary)",
8233,William,Drummond,,,,Individual,Person,"Production Person (pri & sec) : Lithographer, Production Person (primary) : Lithographer",
8295,Nicola M.,Wheal,Nicola,,,Individual,Person,"Production Person (pri & sec), Production Person (pri & sec) : Artist, Production Person (primary), Production Person (primary) : Artist",
4553,James,,,Duke,of Drummond,Individual,,"Production Person (pri & sec) : Landowner, Production Person (primary) : Landowner",
5989,Jean,Cochrane,Jean,,,,Person,"Production Person (pri & sec), Production Person (pri & sec) : Artist, Production Person (primary), Production Person (primary) : Artist",
5527,James,Ruthven,James,Lord,,Individual,Person,,Male
6089,J.,Bugenhagen,,,,Individual,Person,,
6090,Martin,Borrhaus,,,,Individual,Person,,
6100,,Duncan & Loura MacDougall,,,,Business,Corporate,,
5990,Irene,Ellis,Irene,,,,Person,"Production Person (pri & sec), Production Person (pri & sec) : Artist, Production Person (primary), Production Person (primary) : Artist",
7569,Lindsay R S,Gordon,Lindsay,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",Female
7570,Sophie J,Brown,Sophie,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",Female
2184,Carl,Grevé,Carl,,,Individual,Person,"Production Person (pri & sec), Production Person (primary)",
3045,Johan Erik Vesti,Boas,Johan,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",Male
2945,,V. Kohlert's Söhne,,,,Business,Corporate,"Production Person (pri & sec), Production Person (primary)",
8451,Rob,Hunter,Rob,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
1726,Raymond,Passauro,,,,Individual,Person,"Production Person (pri & sec), Production Person (primary)",
8169,C.L.F.,Panckoucke,,,,Individual,Person,"Production Person (pri & sec) : Publisher, Production Person (secondary) : Publisher",
8648,Vikki,Hill,Vikki,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
8170,Charles,Hatchett,,,,Individual,Person,Subject Person : Sitter,
172,D,Agjir,,,,Individual,,"Production Person (pri & sec), Production Person (primary)",
876,Jacobiene,Kuijpers,Jacobiene,,,Individual,Person,Cataloguer,
2289,Hermann,Sauerhering,Hermann,,,,Person,"Production Person (pri & sec), Production Person (primary)",
2290,,Penzel & Müller,,,,Business,Corporate,"Production Person (pri & sec), Production Person (primary)",
2300,,Pöschl,,,,Business,Corporate,"Production Person (pri & sec), Production Person (primary)",
3770,Finlay,West,Finlay,,,Individual,Person,,
3769,Sally,Pagan,,,,Individual,Person,,
5772,,Model Release No. 2433,,,,Model Release,Corporate,,
6422,Derek,McGuire,Derek,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
751,H W,Pickersgill,,,,Individual,,,
1601,Inigo,Jones,,,,,Person,"Production Person (pri & sec) : Architect, Production Person (secondary) : Architect",
1867,,Douglas,,,,Business,Corporate,"Production Person (pri & sec), Production Person (primary)",
6596,Andreas,Wechel,,,,,Person,"Production Person (pri & sec) : Printer, Production Person (primary) : Printer",
6606,Susan,Jones,Susan,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
5126,Thomas,Carlyle,Thomas,,,Individual,Person,,
